Date,Origin Movement ID,Destination Movement ID,AM Mean Travel Time (Seconds),PM Mean Travel Time (Seconds),Midday Mean Travel Time (Seconds),Evening Mean Travel Time (Seconds),Early Morning Mean Travel Time (Seconds)
03/21/2019,517.0,364.0,1598.0,1783.0,1804.0,1372.0,851.0
03/22/2019,517.0,364.0,1616.0,1603.0,1705.0,1281.0,908.0
03/23/2019,517.0,364.0,906.0,1410.0,1704.0,1207.0,911.0
03/24/2019,517.0,364.0,991.0,1350.0,1300.0,1000.0,917.0
03/25/2019,517.0,364.0,1586.0,1462.0,1699.0,1085.0,807.0
03/26/2019,517.0,364.0,1509.0,1683.0,1658.0,1175.0,893.0
03/27/2019,517.0,364.0,1606.0,1754.0,1817.0,1287.0,828.0
03/28/2019,517.0,364.0,1668.0,1691.0,1762.0,1379.0,803.0
03/29/2019,517.0,364.0,1457.0,1616.0,1924.0,1350.0,961.0
03/30/2019,517.0,364.0,890.0,1384.0,1376.0,1258.0,965.0
03/31/2019,517.0,364.0,802.0,1277.0,1209.0,1049.0,939.0
,,,,,,,
,,,,,,,
,,,,,,,
04/01/2019,517.0,364.0,1576.0,1340.0,1509.0,1058.0,830.0
04/02/2019,517.0,364.0,1663.0,1483.0,1670.0,1101.0,854.0
04/03/2019,517.0,364.0,1583.0,1725.0,1794.0,1138.0,832.0
04/04/2019,517.0,364.0,1672.0,1631.0,1953.0,1207.0,855.0
04/05/2019,517.0,364.0,1487.0,1558.0,1799.0,1246.0,881.0
04/06/2019,517.0,364.0,896.0,1388.0,1471.0,1317.0,913.0
04/07/2019,517.0,364.0,898.0,1290.0,1220.0,1022.0,985.0
04/08/2019,517.0,364.0,1608.0,1461.0,1706.0,1133.0,873.0
04/09/2019,517.0,364.0,1611.0,1507.0,1774.0,1114.0,781.0
04/10/2019,517.0,364.0,1608.0,1743.0,1676.0,1217.0,855.0
04/11/2019,517.0,364.0,1481.0,1838.0,1743.0,1271.0,865.0
04/12/2019,517.0,364.0,1496.0,1688.0,1891.0,1305.0,987.0
04/13/2019,517.0,364.0,986.0,1401.0,1381.0,1186.0,945.0
04/14/2019,517.0,364.0,921.0,1329.0,1196.0,1073.0,915.0
04/15/2019,517.0,364.0,1544.0,1553.0,1669.0,1312.0,897.0
04/16/2019,517.0,364.0,1805.0,1678.0,1712.0,1296.0,976.0
04/17/2019,517.0,364.0,1619.0,1602.0,1729.0,1384.0,901.0
